scrape_category,product_id,sku,title,categories,regular_price,sale_price,on_sale,discount,stock_status,rating,featured,url,image_url
Tienda General,2570,5YBM1A,ACCESO CON LECTOR BIOMETRICO 5Y0A 5YBM1A,"Controles de Acceso, Seguridad",475.00,475.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/acceso-con-lector-biometrico-5y0a-5ybm1a/,https://www.boliviamart.com/wp-content/uploads/2020/11/5yoa5ybm1ahuelladactilarclavedebloqueoControldeaccesomaquinabiometricocerraduradepuertaonlineboliviaboliviamart.com1.jpg
Tienda General,2901,50816,ADAPTADOR DE 3 PUERTOS UGREEN,"Accesorios, Celulares y Tablets, Productos Variados",110.00,110.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/adaptador-de-3-puertos-ugreen/,https://www.boliviamart.com/wp-content/uploads/2020/11/cargadoradaptador3entradasusbtipoccelularcargarrapidacomprarugreenonlineboliviaboliviamart6.jpeg
Tienda General,2575,SOS Alert,ALARMA PERSONAL SOS ALERT 130 dB,"Accesorios, Seguridad, Sistemas de Seguridad",135.00,135.00,Yes,-4%,In Stock,0,No,https://www.boliviamart.com/producto/alarma-personal-sos-alert-130-db/,https://www.boliviamart.com/wp-content/uploads/2020/11/alarmaseguridadpersonalonlineboliviaboliviamart1.jpg
Tienda General,3628,ALH-01,Almohada Inflable para viajes,"Accesorios, Camping",73.00,73.00,Yes,-19%,In Stock,0,No,https://www.boliviamart.com/producto/almohada-inflable-para-viajes/,https://www.boliviamart.com/wp-content/uploads/2021/02/almohada-inflable-para-viajes-3-300x300.jpeg
Tienda General,2587,S308,"ALTAVOZ INALAMBRICO PARA GUIAS TURISTICOS, ANUNCIOS, PROFESORES – MEGAFONO PORTATIL",Equipos de Comunicacion,390.00,390.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/altavoz-inalambrico-para-guias-turisticos-anuncios-profesores-megafono-portatil/,https://www.boliviamart.com/wp-content/uploads/2020/11/altavozshiduparlanteportatilboliviamart1.jpg
Tienda General,2597,S308-7,"ALTAVOZ PARA GUIAS TURISTICOS, ANUNCIOS, PROFESORES – MEGAFONO PORTATIL CONEXION INALAMBRICA",Equipos de Comunicacion,660.00,718.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/altavoz-para-guias-turisticos-anuncios-profesores-megafono-portatil-conexion-inalambrica/,https://www.boliviamart.com/wp-content/uploads/2020/11/altavozshiduparlanteportatilboliviamart12.jpg
Tienda General,2617,Fire8,"AMAZON TABLET FIRE HD 8 CON ALEXA, PANTALLA DE 8″ (20.3 cm), 16 GB","Celulares y Tablets, Productos Amazon",1200.00,1200.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/producto/amazon-tablet-fire-hd-8-con-alexa-pantalla-de-8-20-3-cm-16-gb/,https://www.boliviamart.com/wp-content/uploads/2020/11/amazonfire81.jpg
Tienda General,2915,Audífonos Bluedio Victory,Audífonos Bluedio Victory,"Audio, Videojuegos y Consolas",1300.00,1300.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/audifonos-bluedio-victory/,https://www.boliviamart.com/wp-content/uploads/2020/11/612s8pak1jl._sl1100_.jpg
Tienda General,2625,F2,AUDIFONOS BLUETOOTH BLUEDIO F2 CANCELACION DE RUIDO,Audífonos Bluetooth,980.00,980.00,Yes,-37%,Out of Stock,0,No,https://www.boliviamart.com/producto/audifonos-bluetooth-bluedio-f2-cancelacion-de-ruido/,https://www.boliviamart.com/wp-content/uploads/2020/11/BluedioF2AuricularesInalmbricosBluetoothcancelacionactivadeRuidoconmicrofonoonlinebolivia2.jpg
Tienda General,2654,T4S,AUDIFONOS BLUETOOTH BLUEDIO T4S CANCELACION DE RUIDO,Audífonos Bluetooth,610.00,610.00,Yes,-16%,Out of Stock,0,No,https://www.boliviamart.com/producto/audifonos-bluetooth-bluedio-t4s-cancelacion-de-ruido/,https://www.boliviamart.com/wp-content/uploads/2020/11/bluetootht4saudifonoscascosauricularesheadphonesinalambricosonlineboliviaboliviamart3.jpg
