category_name,level,parent,url,product_count,scraped_at
Línea Blanca,1,,https://www.dismac.com.bo/categorias/50-linea-blanca.html,0,2025-11-13T00:06:51.442900
Refrigeradores,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/101-refrigeradores.html,0,2025-11-13T00:06:52.724398
Frigobares y cavas,3,Línea Blanca > Refrigeradores,https://www.dismac.com.bo/categorias/50-linea-blanca/101-refrigeradores/frigobares-y-cavas.html,15,2025-11-13T00:06:54.105574
Refrigerador doméstico,3,Línea Blanca > Refrigeradores,https://www.dismac.com.bo/categorias/50-linea-blanca/101-refrigeradores/refrigerdor-domestico.html,82,2025-11-13T00:06:55.486873
Refrigeración comercial,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/116-refrigeracion-com.html,0,2025-11-13T00:06:56.827028
Exhibidores,3,Línea Blanca > Refrigeración comercial,https://www.dismac.com.bo/categorias/50-linea-blanca/116-refrigeracion-com/54-exhibidores.html,17,2025-11-13T00:07:02.660367
Lavadoras y secadoras,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/102-lavado-y-secado.html,0,2025-11-13T00:07:07.463300
Lavadoras,3,Línea Blanca > Lavadoras y secadoras,https://www.dismac.com.bo/categorias/50-linea-blanca/102-lavado-y-secado/5-lavadoras.html,54,2025-11-13T00:07:12.921672
Lavavajillas,3,Línea Blanca > Lavadoras y secadoras,https://www.dismac.com.bo/categorias/50-linea-blanca/102-lavado-y-secado/7-lavavajillas.html,2,2025-11-13T00:07:17.488939
Lava/Seca,3,Línea Blanca > Lavadoras y secadoras,https://www.dismac.com.bo/categorias/50-linea-blanca/102-lavado-y-secado/lava-seca.html,9,2025-11-13T00:07:22.484057
Secadoras,3,Línea Blanca > Lavadoras y secadoras,https://www.dismac.com.bo/categorias/50-linea-blanca/102-lavado-y-secado/6-secadoras.html,7,2025-11-13T00:07:27.141934
Repuestos e Insumos,3,Línea Blanca > Lavadoras y secadoras,https://www.dismac.com.bo/categorias/50-linea-blanca/102-lavado-y-secado/repuestos-e-insumos.html,2,2025-11-13T00:07:32.074849
Freezers,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/103-freezers.html,0,2025-11-13T00:07:36.327369
Horizontales,3,Línea Blanca > Freezers,https://www.dismac.com.bo/categorias/50-linea-blanca/103-freezers/8-horizontales.html,19,2025-11-13T00:07:41.580631
Verticales,3,Línea Blanca > Freezers,https://www.dismac.com.bo/categorias/50-linea-blanca/103-freezers/9-verticales.html,4,2025-11-13T00:07:46.182484
Campanas y purificadores,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/109-campana-purificador.html,0,2025-11-13T00:07:50.564957
Campanas,3,Línea Blanca > Campanas y purificadores,https://www.dismac.com.bo/categorias/50-linea-blanca/109-campana-purificador/23-campanas.html,42,2025-11-13T00:07:56.273202
Purificadores,3,Línea Blanca > Campanas y purificadores,https://www.dismac.com.bo/categorias/50-linea-blanca/109-campana-purificador/22-purificador.html,22,2025-11-13T00:08:02.343097
Repuestos e insumos,3,Línea Blanca > Campanas y purificadores,https://www.dismac.com.bo/categorias/50-linea-blanca/109-campana-purificador/repuesto-e-insumo-264.html,8,2025-11-13T00:08:07.542848
Cocinas,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/104-cocinas.html,0,2025-11-13T00:08:12.202070
Clásicas,3,Línea Blanca > Cocinas,https://www.dismac.com.bo/categorias/50-linea-blanca/104-cocinas/10-clasicas.html,74,2025-11-13T00:08:17.397655
Encimeras,3,Línea Blanca > Cocinas,https://www.dismac.com.bo/categorias/50-linea-blanca/104-cocinas/encimeras.html,68,2025-11-13T00:08:23.133245
Hornos y microondas,2,Línea Blanca,https://www.dismac.com.bo/categorias/50-linea-blanca/hornos-electricos-y-microondas-duplicada.html,0,2025-11-13T00:08:29.751623
Hornos empotrables,3,Línea Blanca > Hornos y microondas,https://www.dismac.com.bo/categorias/50-linea-blanca/hornos-electricos-y-microondas/hornos-empotrables-323.html,16,2025-11-13T00:08:35.459163
Hornos eléctricos,3,Línea Blanca > Hornos y microondas,https://www.dismac.com.bo/categorias/50-linea-blanca/hornos-electricos-y-microondas/hornos-electricos-26.html,22,2025-11-13T00:08:40.974878
